日付,店舗,商品,数量,単価,売上
2026-04-21,S082,玉葱,37,88,3256
2026-04-15,S082,きゅうり,40,120,4800
2026-04-04,S082,ピーマン,9,101,909
2026-04-13,S082,白菜,5,174,870
2026-04-08,S082,玉葱,31,98,3038
2026-04-08,S082,ズッキーニ,26,208,5408
2026-04-14,S082,トマト,31,250,7750
2026-04-05,S082,ナス,33,160,5280
2026-04-13,S082,トマト,25,236,5900
2026-04-05,S082,ズッキーニ,2,239,478
2026-04-14,S082,玉葱,29,124,3596
2026-04-08,S082,キャベツ,1,196,196
2026-04-19,S082,にんじん,43,147,6321
2026-04-18,S082,トマト,21,238,4998
2026-04-09,S082,キャベツ,13,170,2210
2026-04-23,S082,玉葱,5,97,485
2026-04-23,S082,じゃがいも,22,82,1804
2026-04-01,S082,きゅうり,7,87,609
2026-04-07,S082,ズッキーニ,50,208,10400
2026-04-04,S082,ピーマン,41,96,3936
2026-04-10,S082,じゃがいも,43,63,2709
2026-04-17,S082,白菜,32,167,5344
2026-04-15,S082,ナス,9,136,1224
2026-04-15,S082,ピーマン,9,113,1017
2026-04-23,S082,ズッキーニ,17,208,3536
2026-04-05,S082,玉葱,33,109,3597
2026-04-08,S082,ズッキーニ,17,240,4080
2026-04-26,S082,ナス,21,164,3444
2026-04-18,S082,玉葱,38,86,3268
2026-04-24,S082,キャベツ,20,209,4180
2026-04-18,S082,白菜,32,132,4224
2026-04-14,S082,白菜,41,154,6314
2026-04-27,S082,ピーマン,13,103,1339
2026-04-08,S082,にんじん,38,137,5206
2026-04-18,S082,レタス,23,186,4278
2026-04-12,S082,ピーマン,4,100,400
2026-04-11,S082,白菜,46,164,7544
2026-04-22,S082,トマト,28,247,6916
2026-04-02,S082,大根,22,150,3300
2026-04-17,S082,きゅうり,48,103,4944
2026-04-17,S082,じゃがいも,48,94,4512
2026-04-06,S082,きゅうり,45,97,4365
2026-04-23,S082,白菜,9,155,1395
2026-04-26,S082,にんじん,2,147,294
2026-04-17,S082,トマト,26,260,6760
2026-04-05,S082,ナス,38,169,6422
2026-04-06,S082,きゅうり,20,83,1660
2026-04-28,S082,ナス,21,167,3507
2026-04-12,S082,玉葱,38,100,3800
2026-04-06,S082,大根,11,121,1331
2026-04-06,S082,きゅうり,1,118,118
2026-04-04,S082,大根,12,132,1584
2026-04-24,S082,ナス,41,145,5945
2026-04-06,S082,トマト,29,241,6989
2026-04-18,S082,レタス,13,217,2821
2026-04-25,S082,トマト,12,271,3252
2026-04-01,S082,玉葱,11,125,1375
2026-04-06,S082,じゃがいも,18,65,1170
2026-04-10,S082,ピーマン,37,101,3737
2026-04-20,S082,キャベツ,1,198,198
2026-04-23,S082,ナス,27,145,3915
2026-04-06,S082,ズッキーニ,29,202,5858
2026-04-05,S082,レタス,26,180,4680
2026-04-09,S082,きゅうり,4,107,428
2026-04-12,S082,レタス,13,191,2483
2026-04-03,S082,白菜,19,171,3249
2026-04-02,S082,キャベツ,46,174,8004
2026-04-20,S082,玉葱,4,122,488
2026-04-25,S082,玉葱,37,89,3293
2026-04-08,S082,きゅうり,49,82,4018
2026-04-18,S082,ピーマン,12,98,1176
2026-04-06,S082,トマト,30,235,7050
2026-04-03,S082,ピーマン,15,114,1710
2026-04-28,S082,キャベツ,45,162,7290
2026-04-14,S082,キャベツ,34,169,5746
2026-04-15,S082,白菜,43,132,5676
2026-04-11,S082,レタス,18,205,3690
2026-04-04,S082,ナス,48,146,7008
2026-04-27,S082,キャベツ,31,187,5797
2026-04-28,S082,にんじん,26,118,3068
2026-04-07,S082,ズッキーニ,34,245,8330
2026-04-12,S082,キャベツ,1,196,196
2026-04-11,S082,じゃがいも,30,71,2130
2026-04-07,S082,トマト,28,235,6580
2026-04-15,S082,レタス,43,189,8127
2026-04-28,S082,じゃがいも,44,67,2948
2026-04-07,S082,じゃがいも,27,67,1809
2026-04-01,S082,ナス,40,136,5440
2026-04-10,S082,ズッキーニ,6,227,1362
2026-04-10,S082,にんじん,13,145,1885
2026-04-04,S082,レタス,23,197,4531
2026-04-27,S082,トマト,8,277,2216
2026-04-07,S082,白菜,12,159,1908
2026-04-16,S082,ナス,25,153,3825
2026-04-12,S082,白菜,27,178,4806
2026-04-02,S082,レタス,45,193,8685
2026-04-26,S082,トマト,39,248,9672
2026-04-06,S082,ピーマン,3,107,321
2026-04-14,S082,玉葱,31,95,2945
2026-04-28,S082,きゅうり,7,102,714
