日付,店舗,商品,数量,単価,売上
2026-04-14,S065,ピーマン,17,121,2057
2026-04-01,S065,じゃがいも,8,95,760
2026-04-01,S065,きゅうり,13,112,1456
2026-04-26,S065,じゃがいも,39,85,3315
2026-04-06,S065,白菜,17,157,2669
2026-04-13,S065,レタス,10,185,1850
2026-04-12,S065,ピーマン,5,123,615
2026-04-08,S065,にんじん,45,130,5850
2026-04-01,S065,キャベツ,4,177,708
2026-04-13,S065,レタス,28,186,5208
2026-04-10,S065,きゅうり,41,107,4387
2026-04-01,S065,玉葱,8,78,624
2026-04-15,S065,ピーマン,32,132,4224
2026-04-15,S065,玉葱,17,77,1309
2026-04-01,S065,ズッキーニ,42,216,9072
2026-04-19,S065,じゃがいも,35,109,3815
2026-04-18,S065,玉葱,46,111,5106
2026-04-25,S065,ズッキーニ,46,240,11040
2026-04-23,S065,トマト,37,230,8510
2026-04-11,S065,じゃがいも,43,105,4515
2026-04-03,S065,きゅうり,12,72,864
2026-04-09,S065,ピーマン,39,122,4758
2026-04-02,S065,ピーマン,20,131,2620
2026-04-27,S065,ピーマン,32,115,3680
2026-04-26,S065,ピーマン,34,121,4114
2026-04-21,S065,じゃがいも,42,64,2688
2026-04-07,S065,白菜,38,158,6004
2026-04-22,S065,玉葱,27,99,2673
2026-04-20,S065,大根,48,128,6144
2026-04-04,S065,レタス,25,186,4650
2026-04-05,S065,じゃがいも,32,78,2496
2026-04-02,S065,白菜,31,166,5146
2026-04-09,S065,じゃがいも,15,71,1065
2026-04-25,S065,きゅうり,28,81,2268
2026-04-07,S065,ズッキーニ,45,232,10440
2026-04-22,S065,ピーマン,39,108,4212
2026-04-19,S065,ピーマン,8,129,1032
2026-04-15,S065,キャベツ,5,205,1025
2026-04-27,S065,トマト,11,257,2827
2026-04-28,S065,ナス,9,121,1089
2026-04-07,S065,白菜,4,162,648
2026-04-15,S065,大根,11,116,1276
2026-04-03,S065,レタス,4,190,760
2026-04-22,S065,ナス,43,121,5203
2026-04-21,S065,ナス,41,136,5576
2026-04-04,S065,大根,6,125,750
2026-04-12,S065,ナス,45,168,7560
2026-04-20,S065,ピーマン,33,128,4224
2026-04-17,S065,ピーマン,29,99,2871
2026-04-04,S065,玉葱,29,76,2204
2026-04-24,S065,大根,33,150,4950
2026-04-19,S065,トマト,43,262,11266
2026-04-01,S065,玉葱,35,100,3500
2026-04-09,S065,トマト,35,238,8330
2026-04-06,S065,玉葱,29,97,2813
2026-04-17,S065,大根,48,124,5952
2026-04-19,S065,白菜,33,153,5049
2026-04-15,S065,キャベツ,35,171,5985
2026-04-02,S065,キャベツ,17,194,3298
2026-04-02,S065,レタス,31,200,6200
2026-04-16,S065,ナス,6,131,786
2026-04-27,S065,じゃがいも,25,96,2400
2026-04-03,S065,トマト,39,255,9945
2026-04-03,S065,ナス,43,125,5375
2026-04-06,S065,大根,32,153,4896
2026-04-27,S065,ピーマン,18,140,2520
2026-04-06,S065,ピーマン,43,117,5031
2026-04-18,S065,大根,10,139,1390
2026-04-24,S065,レタス,38,222,8436
2026-04-28,S065,白菜,43,170,7310
2026-04-02,S065,トマト,3,267,801
2026-04-12,S065,じゃがいも,46,67,3082
2026-04-09,S065,玉葱,38,102,3876
2026-04-04,S065,きゅうり,28,72,2016
2026-04-16,S065,大根,42,125,5250
2026-04-06,S065,白菜,19,173,3287
2026-04-26,S065,ズッキーニ,36,235,8460
2026-04-08,S065,きゅうり,47,94,4418
2026-04-12,S065,玉葱,50,104,5200
2026-04-19,S065,ナス,43,161,6923
2026-04-13,S065,にんじん,19,140,2660
2026-04-02,S065,ピーマン,27,134,3618
2026-04-21,S065,トマト,40,254,10160
2026-04-13,S065,大根,16,156,2496
2026-04-09,S065,ピーマン,28,91,2548
2026-04-09,S065,白菜,33,149,4917
2026-04-05,S065,玉葱,29,75,2175
2026-04-05,S065,大根,22,116,2552
2026-04-13,S065,にんじん,11,122,1342
2026-04-19,S065,じゃがいも,41,86,3526
2026-04-09,S065,大根,35,118,4130
2026-04-01,S065,大根,37,160,5920
2026-04-25,S065,じゃがいも,18,94,1692
2026-04-13,S065,大根,45,142,6390
2026-04-08,S065,ピーマン,3,117,351
2026-04-05,S065,トマト,26,260,6760
2026-04-05,S065,大根,29,148,4292
2026-04-19,S065,玉葱,28,76,2128
2026-04-20,S065,玉葱,6,94,564
2026-04-03,S065,じゃがいも,8,97,776
