日付,店舗,商品,数量,単価,売上
2026-04-03,S004,きゅうり,17,90,1530
2026-04-04,S004,レタス,33,180,5940
2026-04-22,S004,大根,30,136,4080
2026-04-02,S004,じゃがいも,34,83,2822
2026-04-20,S004,白菜,41,158,6478
2026-04-25,S004,キャベツ,14,177,2478
2026-04-18,S004,にんじん,19,128,2432
2026-04-23,S004,白菜,8,131,1048
2026-04-21,S004,ピーマン,16,135,2160
2026-04-06,S004,トマト,36,230,8280
2026-04-18,S004,レタス,6,194,1164
2026-04-27,S004,玉葱,30,82,2460
2026-04-21,S004,にんじん,32,145,4640
2026-04-10,S004,大根,46,127,5842
2026-04-14,S004,白菜,31,145,4495
2026-04-15,S004,大根,10,134,1340
2026-04-07,S004,ピーマン,33,137,4521
2026-04-05,S004,玉葱,18,124,2232
2026-04-26,S004,レタス,22,230,5060
2026-04-17,S004,トマト,1,248,248
2026-04-24,S004,トマト,38,267,10146
2026-04-22,S004,白菜,10,158,1580
2026-04-18,S004,白菜,23,151,3473
2026-04-18,S004,大根,25,139,3475
2026-04-11,S004,じゃがいも,45,75,3375
2026-04-19,S004,レタス,15,229,3435
2026-04-14,S004,キャベツ,21,207,4347
2026-04-16,S004,ズッキーニ,25,224,5600
2026-04-22,S004,ナス,10,151,1510
2026-04-02,S004,にんじん,33,137,4521
2026-04-11,S004,玉葱,29,81,2349
2026-04-17,S004,白菜,1,176,176
2026-04-05,S004,レタス,42,189,7938
2026-04-03,S004,白菜,17,151,2567
2026-04-20,S004,ズッキーニ,26,241,6266
2026-04-03,S004,きゅうり,44,104,4576
2026-04-13,S004,きゅうり,41,115,4715
2026-04-25,S004,白菜,35,132,4620
2026-04-20,S004,玉葱,16,115,1840
2026-04-22,S004,トマト,15,277,4155
2026-04-03,S004,レタス,7,228,1596
2026-04-21,S004,ズッキーニ,7,228,1596
2026-04-06,S004,ズッキーニ,20,201,4020
2026-04-02,S004,きゅうり,4,88,352
2026-04-12,S004,きゅうり,28,79,2212
2026-04-08,S004,大根,27,146,3942
2026-04-22,S004,にんじん,11,111,1221
2026-04-03,S004,ピーマン,25,129,3225
2026-04-22,S004,じゃがいも,32,97,3104
2026-04-05,S004,じゃがいも,30,100,3000
2026-04-09,S004,白菜,17,172,2924
2026-04-01,S004,白菜,19,173,3287
2026-04-18,S004,にんじん,5,128,640
2026-04-12,S004,ピーマン,20,130,2600
2026-04-14,S004,ズッキーニ,17,229,3893
2026-04-28,S004,トマト,13,254,3302
2026-04-28,S004,白菜,7,145,1015
2026-04-13,S004,ピーマン,23,126,2898
2026-04-10,S004,ズッキーニ,19,201,3819
2026-04-27,S004,ナス,26,137,3562
2026-04-01,S004,ピーマン,44,139,6116
2026-04-24,S004,キャベツ,39,207,8073
2026-04-16,S004,トマト,50,244,12200
2026-04-20,S004,きゅうり,15,110,1650
2026-04-07,S004,ピーマン,17,133,2261
2026-04-25,S004,ズッキーニ,50,242,12100
2026-04-22,S004,にんじん,41,106,4346
2026-04-21,S004,ナス,3,139,417
2026-04-26,S004,白菜,3,167,501
2026-04-12,S004,ズッキーニ,9,205,1845
2026-04-10,S004,きゅうり,48,96,4608
2026-04-06,S004,じゃがいも,9,110,990
2026-04-18,S004,きゅうり,34,102,3468
2026-04-09,S004,にんじん,17,130,2210
2026-04-26,S004,トマト,48,251,12048
2026-04-26,S004,玉葱,30,79,2370
2026-04-05,S004,じゃがいも,44,106,4664
2026-04-22,S004,レタス,36,203,7308
2026-04-03,S004,レタス,1,196,196
2026-04-18,S004,玉葱,30,98,2940
2026-04-22,S004,ズッキーニ,44,216,9504
2026-04-19,S004,レタス,41,203,8323
2026-04-04,S004,ナス,15,150,2250
2026-04-01,S004,ピーマン,36,110,3960
2026-04-20,S004,じゃがいも,42,64,2688
2026-04-21,S004,白菜,45,149,6705
2026-04-21,S004,レタス,8,188,1504
2026-04-02,S004,キャベツ,20,191,3820
2026-04-04,S004,玉葱,16,109,1744
2026-04-05,S004,レタス,30,203,6090
2026-04-22,S004,ズッキーニ,45,234,10530
2026-04-14,S004,ピーマン,48,136,6528
2026-04-05,S004,レタス,42,186,7812
2026-04-27,S004,白菜,40,156,6240
2026-04-09,S004,キャベツ,45,183,8235
2026-04-07,S004,白菜,29,145,4205
2026-04-28,S004,きゅうり,7,113,791
2026-04-12,S004,大根,42,132,5544
2026-04-02,S004,レタス,18,192,3456
2026-04-04,S004,白菜,6,172,1032
