日付,店舗,商品,数量,単価,売上
2026-04-28,S099,レタス,22,206,4532
2026-04-12,S099,大根,48,116,5568
2026-04-18,S099,ピーマン,35,132,4620
2026-04-04,S099,キャベツ,28,164,4592
2026-04-16,S099,じゃがいも,41,103,4223
2026-04-28,S099,ズッキーニ,21,226,4746
2026-04-28,S099,じゃがいも,7,86,602
2026-04-07,S099,玉葱,11,113,1243
2026-04-15,S099,きゅうり,23,98,2254
2026-04-27,S099,にんじん,48,148,7104
2026-04-14,S099,玉葱,27,113,3051
2026-04-10,S099,ピーマン,27,103,2781
2026-04-16,S099,大根,33,114,3762
2026-04-03,S099,ピーマン,14,123,1722
2026-04-28,S099,ズッキーニ,46,237,10902
2026-04-21,S099,ピーマン,38,93,3534
2026-04-13,S099,大根,11,154,1694
2026-04-02,S099,玉葱,49,88,4312
2026-04-21,S099,キャベツ,32,164,5248
2026-04-14,S099,白菜,23,142,3266
2026-04-26,S099,ナス,45,130,5850
2026-04-04,S099,レタス,15,224,3360
2026-04-07,S099,レタス,8,195,1560
2026-04-03,S099,白菜,40,163,6520
2026-04-11,S099,トマト,38,232,8816
2026-04-25,S099,キャベツ,20,204,4080
2026-04-20,S099,キャベツ,16,190,3040
2026-04-22,S099,にんじん,39,122,4758
2026-04-24,S099,トマト,24,263,6312
2026-04-25,S099,きゅうり,33,84,2772
2026-04-11,S099,ズッキーニ,27,215,5805
2026-04-22,S099,ピーマン,38,125,4750
2026-04-25,S099,玉葱,10,105,1050
2026-04-28,S099,トマト,47,243,11421
2026-04-20,S099,ナス,10,129,1290
2026-04-11,S099,きゅうり,7,98,686
2026-04-26,S099,トマト,5,268,1340
2026-04-23,S099,ズッキーニ,12,220,2640
2026-04-18,S099,玉葱,41,122,5002
2026-04-27,S099,トマト,32,256,8192
2026-04-06,S099,玉葱,46,86,3956
2026-04-23,S099,じゃがいも,26,62,1612
2026-04-04,S099,ズッキーニ,35,225,7875
2026-04-08,S099,ピーマン,39,106,4134
2026-04-12,S099,トマト,7,243,1701
2026-04-24,S099,大根,17,130,2210
2026-04-08,S099,玉葱,21,99,2079
2026-04-07,S099,キャベツ,39,175,6825
2026-04-01,S099,白菜,39,155,6045
2026-04-17,S099,ナス,48,141,6768
2026-04-25,S099,ピーマン,3,131,393
2026-04-19,S099,レタス,45,222,9990
2026-04-10,S099,きゅうり,38,104,3952
2026-04-15,S099,にんじん,41,117,4797
2026-04-24,S099,キャベツ,36,207,7452
2026-04-20,S099,ピーマン,12,134,1608
2026-04-04,S099,白菜,31,170,5270
2026-04-25,S099,じゃがいも,22,101,2222
2026-04-25,S099,玉葱,27,100,2700
2026-04-17,S099,玉葱,5,88,440
2026-04-07,S099,ピーマン,31,102,3162
2026-04-14,S099,白菜,2,160,320
2026-04-23,S099,にんじん,8,130,1040
2026-04-22,S099,じゃがいも,46,78,3588
2026-04-01,S099,ズッキーニ,12,219,2628
2026-04-05,S099,ナス,11,161,1771
2026-04-06,S099,ズッキーニ,18,206,3708
2026-04-23,S099,ピーマン,34,140,4760
2026-04-27,S099,ズッキーニ,15,203,3045
2026-04-14,S099,ナス,16,131,2096
2026-04-24,S099,じゃがいも,28,80,2240
2026-04-10,S099,キャベツ,7,194,1358
2026-04-04,S099,ナス,20,138,2760
2026-04-09,S099,にんじん,19,148,2812
2026-04-18,S099,トマト,10,272,2720
2026-04-22,S099,キャベツ,11,204,2244
2026-04-09,S099,じゃがいも,49,83,4067
2026-04-01,S099,ズッキーニ,39,219,8541
2026-04-15,S099,レタス,23,224,5152
2026-04-03,S099,玉葱,43,122,5246
2026-04-17,S099,レタス,43,184,7912
2026-04-11,S099,レタス,18,180,3240
2026-04-20,S099,ピーマン,19,96,1824
2026-04-10,S099,白菜,23,142,3266
2026-04-20,S099,大根,40,155,6200
2026-04-03,S099,じゃがいも,30,62,1860
2026-04-11,S099,トマト,41,238,9758
2026-04-10,S099,きゅうり,6,113,678
2026-04-21,S099,ピーマン,4,122,488
2026-04-27,S099,にんじん,25,104,2600
2026-04-22,S099,玉葱,2,116,232
2026-04-07,S099,きゅうり,25,90,2250
2026-04-20,S099,トマト,12,277,3324
2026-04-19,S099,ピーマン,12,92,1104
2026-04-21,S099,にんじん,16,130,2080
2026-04-13,S099,ズッキーニ,25,227,5675
2026-04-19,S099,ナス,28,158,4424
2026-04-06,S099,にんじん,37,122,4514
2026-04-08,S099,じゃがいも,35,84,2940
2026-04-03,S099,ピーマン,17,95,1615
