日付,店舗,商品,数量,単価,売上
2026-04-18,S019,トマト,35,274,9590
2026-04-16,S019,じゃがいも,37,71,2627
2026-04-18,S019,きゅうり,21,116,2436
2026-04-15,S019,トマト,39,265,10335
2026-04-06,S019,玉葱,34,84,2856
2026-04-15,S019,トマト,17,264,4488
2026-04-12,S019,白菜,1,179,179
2026-04-21,S019,大根,25,156,3900
2026-04-06,S019,キャベツ,40,183,7320
2026-04-25,S019,ピーマン,16,110,1760
2026-04-24,S019,玉葱,43,109,4687
2026-04-27,S019,レタス,13,213,2769
2026-04-22,S019,白菜,50,165,8250
2026-04-05,S019,ピーマン,19,110,2090
2026-04-14,S019,ナス,21,127,2667
2026-04-04,S019,大根,43,114,4902
2026-04-02,S019,にんじん,12,102,1224
2026-04-07,S019,玉葱,32,87,2784
2026-04-04,S019,キャベツ,37,201,7437
2026-04-27,S019,レタス,43,211,9073
2026-04-17,S019,ピーマン,45,127,5715
2026-04-09,S019,キャベツ,24,174,4176
2026-04-20,S019,ズッキーニ,5,200,1000
2026-04-07,S019,ナス,32,125,4000
2026-04-15,S019,ナス,4,143,572
2026-04-18,S019,ズッキーニ,27,223,6021
2026-04-26,S019,ズッキーニ,4,239,956
2026-04-09,S019,大根,3,156,468
2026-04-03,S019,トマト,5,243,1215
2026-04-17,S019,玉葱,7,121,847
2026-04-08,S019,大根,25,122,3050
2026-04-07,S019,大根,43,125,5375
2026-04-19,S019,ナス,12,155,1860
2026-04-24,S019,大根,27,157,4239
2026-04-04,S019,ナス,37,142,5254
2026-04-22,S019,白菜,45,172,7740
2026-04-14,S019,玉葱,11,125,1375
2026-04-06,S019,大根,26,142,3692
2026-04-11,S019,ナス,11,154,1694
2026-04-20,S019,白菜,23,150,3450
2026-04-18,S019,きゅうり,24,96,2304
2026-04-25,S019,ナス,28,166,4648
2026-04-11,S019,ピーマン,16,126,2016
2026-04-18,S019,じゃがいも,25,109,2725
2026-04-18,S019,ズッキーニ,17,223,3791
2026-04-15,S019,白菜,26,130,3380
2026-04-24,S019,キャベツ,19,198,3762
2026-04-01,S019,大根,9,129,1161
2026-04-01,S019,トマト,15,243,3645
2026-04-28,S019,きゅうり,2,119,238
2026-04-27,S019,ズッキーニ,18,235,4230
2026-04-17,S019,大根,37,146,5402
2026-04-05,S019,玉葱,3,104,312
2026-04-12,S019,にんじん,9,116,1044
2026-04-12,S019,ピーマン,16,104,1664
2026-04-09,S019,トマト,6,266,1596
2026-04-13,S019,ピーマン,14,136,1904
2026-04-03,S019,ズッキーニ,21,250,5250
2026-04-16,S019,にんじん,32,144,4608
2026-04-23,S019,ピーマン,7,128,896
2026-04-21,S019,トマト,3,276,828
2026-04-26,S019,ピーマン,25,95,2375
2026-04-25,S019,キャベツ,50,181,9050
2026-04-12,S019,レタス,27,187,5049
2026-04-28,S019,じゃがいも,48,101,4848
2026-04-28,S019,ピーマン,1,130,130
2026-04-25,S019,ナス,25,123,3075
2026-04-10,S019,大根,3,130,390
2026-04-18,S019,ピーマン,10,110,1100
2026-04-17,S019,ズッキーニ,15,209,3135
2026-04-02,S019,ナス,47,145,6815
2026-04-15,S019,ピーマン,37,122,4514
2026-04-03,S019,じゃがいも,28,78,2184
2026-04-26,S019,レタス,10,188,1880
2026-04-11,S019,玉葱,31,111,3441
2026-04-24,S019,キャベツ,36,185,6660
2026-04-09,S019,玉葱,26,107,2782
2026-04-14,S019,ズッキーニ,9,248,2232
2026-04-05,S019,白菜,36,142,5112
2026-04-16,S019,レタス,42,216,9072
2026-04-07,S019,大根,40,157,6280
2026-04-17,S019,じゃがいも,16,64,1024
2026-04-09,S019,レタス,21,223,4683
2026-04-19,S019,玉葱,8,117,936
2026-04-14,S019,レタス,24,202,4848
2026-04-07,S019,きゅうり,23,108,2484
2026-04-21,S019,キャベツ,50,179,8950
2026-04-06,S019,きゅうり,40,98,3920
2026-04-20,S019,にんじん,29,102,2958
2026-04-27,S019,じゃがいも,13,103,1339
2026-04-12,S019,にんじん,49,146,7154
2026-04-28,S019,玉葱,8,122,976
2026-04-02,S019,じゃがいも,40,69,2760
2026-04-28,S019,トマト,1,251,251
2026-04-23,S019,玉葱,20,103,2060
2026-04-16,S019,キャベツ,22,173,3806
2026-04-24,S019,大根,14,123,1722
2026-04-18,S019,大根,49,126,6174
2026-04-18,S019,白菜,40,176,7040
2026-04-05,S019,ズッキーニ,45,242,10890
