日付,店舗,商品,数量,単価,売上
2026-04-07,S073,トマト,30,248,7440
2026-04-06,S073,トマト,27,243,6561
2026-04-21,S073,玉葱,2,94,188
2026-04-08,S073,ナス,29,165,4785
2026-04-19,S073,レタス,33,227,7491
2026-04-23,S073,ナス,43,145,6235
2026-04-26,S073,大根,2,112,224
2026-04-18,S073,ナス,21,165,3465
2026-04-23,S073,にんじん,37,117,4329
2026-04-13,S073,ピーマン,4,99,396
2026-04-26,S073,ナス,6,161,966
2026-04-22,S073,白菜,29,148,4292
2026-04-03,S073,白菜,17,142,2414
2026-04-02,S073,トマト,14,250,3500
2026-04-02,S073,にんじん,15,134,2010
2026-04-26,S073,きゅうり,4,80,320
2026-04-06,S073,大根,40,127,5080
2026-04-14,S073,レタス,22,191,4202
2026-04-15,S073,きゅうり,47,118,5546
2026-04-25,S073,にんじん,13,112,1456
2026-04-05,S073,大根,10,149,1490
2026-04-26,S073,じゃがいも,1,68,68
2026-04-01,S073,にんじん,22,125,2750
2026-04-19,S073,玉葱,14,88,1232
2026-04-01,S073,じゃがいも,2,74,148
2026-04-07,S073,トマト,27,259,6993
2026-04-15,S073,玉葱,47,119,5593
2026-04-04,S073,ナス,28,170,4760
2026-04-15,S073,きゅうり,1,98,98
2026-04-28,S073,レタス,10,229,2290
2026-04-16,S073,ピーマン,40,112,4480
2026-04-25,S073,きゅうり,16,117,1872
2026-04-02,S073,にんじん,18,141,2538
2026-04-12,S073,じゃがいも,4,65,260
2026-04-06,S073,じゃがいも,48,97,4656
2026-04-18,S073,トマト,32,240,7680
2026-04-08,S073,キャベツ,14,177,2478
2026-04-23,S073,にんじん,3,108,324
2026-04-18,S073,トマト,30,234,7020
2026-04-26,S073,ピーマン,48,139,6672
2026-04-01,S073,玉葱,30,120,3600
2026-04-06,S073,にんじん,43,108,4644
2026-04-10,S073,キャベツ,24,163,3912
2026-04-15,S073,ズッキーニ,27,216,5832
2026-04-22,S073,大根,30,156,4680
2026-04-25,S073,玉葱,31,116,3596
2026-04-21,S073,ズッキーニ,32,220,7040
2026-04-27,S073,トマト,27,236,6372
2026-04-20,S073,ピーマン,12,106,1272
2026-04-02,S073,レタス,24,220,5280
2026-04-18,S073,じゃがいも,35,88,3080
2026-04-05,S073,ナス,31,160,4960
2026-04-05,S073,きゅうり,33,74,2442
2026-04-06,S073,にんじん,21,138,2898
2026-04-02,S073,ピーマン,45,111,4995
2026-04-13,S073,レタス,49,214,10486
2026-04-10,S073,ズッキーニ,17,232,3944
2026-04-24,S073,ズッキーニ,10,215,2150
2026-04-16,S073,じゃがいも,41,72,2952
2026-04-15,S073,ピーマン,50,94,4700
2026-04-26,S073,にんじん,7,108,756
2026-04-03,S073,玉葱,4,82,328
2026-04-17,S073,白菜,33,132,4356
2026-04-08,S073,ズッキーニ,23,244,5612
2026-04-18,S073,レタス,48,219,10512
2026-04-02,S073,ナス,5,149,745
2026-04-28,S073,キャベツ,32,178,5696
2026-04-23,S073,キャベツ,41,174,7134
2026-04-20,S073,にんじん,23,106,2438
2026-04-19,S073,ピーマン,40,106,4240
2026-04-23,S073,きゅうり,12,108,1296
2026-04-11,S073,ズッキーニ,49,207,10143
2026-04-16,S073,玉葱,12,86,1032
2026-04-05,S073,白菜,25,177,4425
2026-04-09,S073,じゃがいも,15,95,1425
2026-04-15,S073,にんじん,11,101,1111
2026-04-12,S073,トマト,10,239,2390
2026-04-04,S073,レタス,12,204,2448
2026-04-22,S073,きゅうり,44,86,3784
2026-04-19,S073,ナス,25,132,3300
2026-04-07,S073,ズッキーニ,48,200,9600
2026-04-23,S073,大根,13,122,1586
2026-04-10,S073,トマト,20,258,5160
2026-04-27,S073,キャベツ,20,192,3840
2026-04-27,S073,大根,32,142,4544
2026-04-20,S073,ピーマン,22,90,1980
2026-04-09,S073,白菜,2,140,280
2026-04-01,S073,きゅうり,40,113,4520
2026-04-13,S073,大根,44,132,5808
2026-04-03,S073,ピーマン,50,110,5500
2026-04-07,S073,ナス,29,151,4379
2026-04-09,S073,ピーマン,45,101,4545
2026-04-13,S073,レタス,41,222,9102
2026-04-07,S073,にんじん,39,147,5733
2026-04-11,S073,レタス,15,197,2955
2026-04-06,S073,白菜,32,160,5120
2026-04-11,S073,にんじん,11,122,1342
2026-04-19,S073,にんじん,2,126,252
2026-04-03,S073,レタス,23,214,4922
2026-04-03,S073,にんじん,39,108,4212
