日付,店舗,商品,数量,単価,売上
2026-04-11,S094,キャベツ,27,197,5319
2026-04-05,S094,ピーマン,27,110,2970
2026-04-13,S094,大根,22,117,2574
2026-04-05,S094,ナス,4,146,584
2026-04-25,S094,にんじん,49,128,6272
2026-04-14,S094,ズッキーニ,32,211,6752
2026-04-20,S094,じゃがいも,48,80,3840
2026-04-23,S094,キャベツ,40,188,7520
2026-04-19,S094,じゃがいも,17,103,1751
2026-04-09,S094,にんじん,5,108,540
2026-04-19,S094,玉葱,20,102,2040
2026-04-28,S094,ナス,24,120,2880
2026-04-06,S094,にんじん,13,118,1534
2026-04-16,S094,白菜,36,174,6264
2026-04-28,S094,ズッキーニ,43,246,10578
2026-04-23,S094,キャベツ,19,182,3458
2026-04-16,S094,ズッキーニ,37,229,8473
2026-04-28,S094,にんじん,24,107,2568
2026-04-28,S094,大根,19,154,2926
2026-04-21,S094,キャベツ,30,161,4830
2026-04-07,S094,じゃがいも,42,99,4158
2026-04-17,S094,にんじん,6,118,708
2026-04-15,S094,大根,44,119,5236
2026-04-25,S094,じゃがいも,13,88,1144
2026-04-21,S094,ズッキーニ,10,244,2440
2026-04-02,S094,ピーマン,45,135,6075
2026-04-09,S094,きゅうり,5,115,575
2026-04-13,S094,白菜,26,179,4654
2026-04-24,S094,白菜,1,155,155
2026-04-07,S094,レタス,41,194,7954
2026-04-22,S094,にんじん,34,127,4318
2026-04-07,S094,キャベツ,8,164,1312
2026-04-05,S094,にんじん,2,103,206
2026-04-24,S094,ナス,34,138,4692
2026-04-17,S094,トマト,9,254,2286
2026-04-27,S094,トマト,50,264,13200
2026-04-07,S094,じゃがいも,49,73,3577
2026-04-14,S094,白菜,44,166,7304
2026-04-13,S094,キャベツ,33,170,5610
2026-04-23,S094,大根,39,135,5265
2026-04-16,S094,ズッキーニ,48,240,11520
2026-04-03,S094,ズッキーニ,14,224,3136
2026-04-01,S094,きゅうり,41,113,4633
2026-04-09,S094,ピーマン,19,117,2223
2026-04-20,S094,にんじん,2,135,270
2026-04-12,S094,レタス,18,216,3888
2026-04-23,S094,キャベツ,8,172,1376
2026-04-05,S094,トマト,40,253,10120
2026-04-25,S094,玉葱,37,88,3256
2026-04-12,S094,キャベツ,42,160,6720
2026-04-03,S094,玉葱,22,93,2046
2026-04-13,S094,玉葱,31,97,3007
2026-04-26,S094,大根,46,154,7084
2026-04-23,S094,ナス,4,154,616
2026-04-02,S094,じゃがいも,34,106,3604
2026-04-17,S094,ピーマン,41,138,5658
2026-04-24,S094,ズッキーニ,3,218,654
2026-04-09,S094,ナス,5,123,615
2026-04-10,S094,キャベツ,18,175,3150
2026-04-03,S094,きゅうり,26,94,2444
2026-04-17,S094,きゅうり,5,113,565
2026-04-07,S094,きゅうり,13,103,1339
2026-04-21,S094,ナス,7,137,959
2026-04-17,S094,ナス,14,150,2100
2026-04-10,S094,白菜,21,152,3192
2026-04-17,S094,キャベツ,13,162,2106
2026-04-20,S094,ナス,1,126,126
2026-04-13,S094,大根,21,134,2814
2026-04-10,S094,白菜,8,161,1288
2026-04-27,S094,白菜,36,146,5256
2026-04-02,S094,玉葱,39,77,3003
2026-04-05,S094,白菜,43,136,5848
2026-04-13,S094,ピーマン,34,134,4556
2026-04-18,S094,ナス,46,133,6118
2026-04-16,S094,ズッキーニ,7,227,1589
2026-04-03,S094,玉葱,24,108,2592
2026-04-13,S094,レタス,34,207,7038
2026-04-04,S094,玉葱,37,111,4107
2026-04-16,S094,レタス,29,202,5858
2026-04-19,S094,ズッキーニ,46,233,10718
2026-04-07,S094,ナス,13,130,1690
2026-04-14,S094,玉葱,31,77,2387
2026-04-24,S094,きゅうり,2,91,182
2026-04-18,S094,じゃがいも,24,72,1728
2026-04-09,S094,きゅうり,42,104,4368
2026-04-03,S094,ピーマン,23,117,2691
2026-04-11,S094,白菜,46,139,6394
2026-04-18,S094,きゅうり,16,93,1488
2026-04-08,S094,じゃがいも,38,101,3838
2026-04-19,S094,大根,11,128,1408
2026-04-06,S094,レタス,26,222,5772
2026-04-05,S094,玉葱,30,124,3720
2026-04-23,S094,白菜,22,165,3630
2026-04-02,S094,玉葱,44,96,4224
2026-04-18,S094,トマト,28,257,7196
2026-04-18,S094,白菜,39,143,5577
2026-04-01,S094,じゃがいも,1,69,69
2026-04-26,S094,大根,22,123,2706
2026-04-06,S094,白菜,12,160,1920
2026-04-25,S094,レタス,28,217,6076
