日付,店舗,商品,数量,単価,売上
2026-04-25,S048,きゅうり,2,78,156
2026-04-15,S048,玉葱,25,76,1900
2026-04-15,S048,ズッキーニ,48,213,10224
2026-04-13,S048,キャベツ,29,188,5452
2026-04-13,S048,じゃがいも,14,109,1526
2026-04-13,S048,ピーマン,8,95,760
2026-04-06,S048,大根,38,156,5928
2026-04-17,S048,玉葱,11,123,1353
2026-04-07,S048,玉葱,32,122,3904
2026-04-20,S048,きゅうり,48,90,4320
2026-04-14,S048,じゃがいも,14,65,910
2026-04-26,S048,大根,24,140,3360
2026-04-09,S048,大根,8,139,1112
2026-04-01,S048,キャベツ,25,186,4650
2026-04-13,S048,玉葱,23,98,2254
2026-04-10,S048,玉葱,28,116,3248
2026-04-10,S048,じゃがいも,45,65,2925
2026-04-21,S048,ナス,25,150,3750
2026-04-01,S048,トマト,47,271,12737
2026-04-11,S048,キャベツ,10,175,1750
2026-04-06,S048,ピーマン,1,98,98
2026-04-17,S048,にんじん,9,144,1296
2026-04-16,S048,キャベツ,4,198,792
2026-04-26,S048,じゃがいも,48,102,4896
2026-04-10,S048,きゅうり,40,96,3840
2026-04-27,S048,にんじん,27,111,2997
2026-04-06,S048,大根,10,157,1570
2026-04-26,S048,ナス,12,143,1716
2026-04-04,S048,にんじん,2,131,262
2026-04-07,S048,トマト,26,270,7020
2026-04-12,S048,トマト,40,250,10000
2026-04-01,S048,キャベツ,22,161,3542
2026-04-16,S048,キャベツ,48,169,8112
2026-04-14,S048,キャベツ,35,184,6440
2026-04-25,S048,ピーマン,47,123,5781
2026-04-06,S048,にんじん,7,100,700
2026-04-12,S048,じゃがいも,6,86,516
2026-04-03,S048,玉葱,31,104,3224
2026-04-14,S048,大根,29,118,3422
2026-04-28,S048,ピーマン,41,90,3690
2026-04-10,S048,白菜,31,146,4526
2026-04-05,S048,きゅうり,43,104,4472
2026-04-12,S048,ピーマン,43,135,5805
2026-04-04,S048,白菜,32,177,5664
2026-04-27,S048,ピーマン,13,98,1274
2026-04-08,S048,大根,9,119,1071
2026-04-08,S048,ナス,6,167,1002
2026-04-04,S048,ズッキーニ,26,218,5668
2026-04-20,S048,玉葱,16,89,1424
2026-04-09,S048,にんじん,47,142,6674
2026-04-10,S048,きゅうり,46,99,4554
2026-04-22,S048,ピーマン,34,123,4182
2026-04-19,S048,トマト,49,238,11662
2026-04-11,S048,レタス,24,222,5328
2026-04-05,S048,ピーマン,48,92,4416
2026-04-24,S048,レタス,41,183,7503
2026-04-26,S048,じゃがいも,12,60,720
2026-04-05,S048,ナス,3,170,510
2026-04-08,S048,にんじん,26,120,3120
2026-04-01,S048,ピーマン,31,120,3720
2026-04-28,S048,きゅうり,13,110,1430
2026-04-28,S048,ピーマン,26,118,3068
2026-04-07,S048,白菜,40,146,5840
2026-04-18,S048,白菜,8,177,1416
2026-04-09,S048,ナス,50,152,7600
2026-04-11,S048,きゅうり,12,86,1032
2026-04-11,S048,白菜,50,165,8250
2026-04-15,S048,ナス,7,162,1134
2026-04-28,S048,きゅうり,49,103,5047
2026-04-09,S048,玉葱,24,102,2448
2026-04-21,S048,キャベツ,35,168,5880
2026-04-04,S048,じゃがいも,30,67,2010
2026-04-04,S048,大根,46,128,5888
2026-04-05,S048,きゅうり,20,98,1960
2026-04-14,S048,大根,6,142,852
2026-04-06,S048,レタス,33,192,6336
2026-04-05,S048,ナス,15,169,2535
2026-04-01,S048,じゃがいも,47,107,5029
2026-04-12,S048,大根,39,159,6201
2026-04-05,S048,ピーマン,34,123,4182
2026-04-02,S048,大根,24,144,3456
2026-04-08,S048,ズッキーニ,34,210,7140
2026-04-12,S048,にんじん,7,143,1001
2026-04-06,S048,ナス,41,159,6519
2026-04-08,S048,ズッキーニ,10,234,2340
2026-04-20,S048,レタス,13,197,2561
2026-04-02,S048,レタス,19,204,3876
2026-04-17,S048,レタス,31,209,6479
2026-04-11,S048,にんじん,47,119,5593
2026-04-01,S048,玉葱,17,120,2040
2026-04-18,S048,ナス,20,133,2660
2026-04-24,S048,ピーマン,39,94,3666
2026-04-02,S048,レタス,9,189,1701
2026-04-16,S048,にんじん,49,115,5635
2026-04-13,S048,にんじん,42,126,5292
2026-04-13,S048,ピーマン,13,105,1365
2026-04-27,S048,きゅうり,5,84,420
2026-04-09,S048,にんじん,26,107,2782
2026-04-24,S048,ズッキーニ,38,243,9234
2026-04-05,S048,じゃがいも,29,69,2001
