日付,店舗,商品,数量,単価,売上
2026-04-08,S036,トマト,3,270,810
2026-04-05,S036,トマト,9,247,2223
2026-04-28,S036,キャベツ,42,175,7350
2026-04-27,S036,じゃがいも,35,67,2345
2026-04-01,S036,ナス,23,160,3680
2026-04-20,S036,きゅうり,21,75,1575
2026-04-23,S036,大根,17,156,2652
2026-04-05,S036,レタス,40,198,7920
2026-04-11,S036,キャベツ,41,160,6560
2026-04-27,S036,きゅうり,15,116,1740
2026-04-09,S036,にんじん,17,101,1717
2026-04-18,S036,ナス,50,169,8450
2026-04-19,S036,玉葱,47,122,5734
2026-04-23,S036,レタス,42,196,8232
2026-04-28,S036,ナス,41,158,6478
2026-04-18,S036,じゃがいも,29,74,2146
2026-04-11,S036,トマト,14,267,3738
2026-04-21,S036,レタス,10,208,2080
2026-04-08,S036,ズッキーニ,47,227,10669
2026-04-12,S036,にんじん,31,105,3255
2026-04-16,S036,にんじん,30,111,3330
2026-04-27,S036,にんじん,13,136,1768
2026-04-16,S036,ズッキーニ,12,241,2892
2026-04-10,S036,キャベツ,20,170,3400
2026-04-06,S036,レタス,44,218,9592
2026-04-07,S036,玉葱,10,79,790
2026-04-14,S036,じゃがいも,30,101,3030
2026-04-13,S036,玉葱,47,108,5076
2026-04-05,S036,ズッキーニ,49,200,9800
2026-04-20,S036,玉葱,25,99,2475
2026-04-01,S036,玉葱,1,123,123
2026-04-27,S036,ナス,3,128,384
2026-04-08,S036,玉葱,18,84,1512
2026-04-21,S036,ピーマン,1,140,140
2026-04-01,S036,玉葱,35,122,4270
2026-04-27,S036,きゅうり,46,75,3450
2026-04-07,S036,にんじん,31,148,4588
2026-04-19,S036,白菜,11,149,1639
2026-04-11,S036,白菜,10,145,1450
2026-04-02,S036,大根,45,127,5715
2026-04-21,S036,大根,8,111,888
2026-04-27,S036,キャベツ,7,194,1358
2026-04-10,S036,玉葱,33,101,3333
2026-04-05,S036,キャベツ,15,161,2415
2026-04-08,S036,レタス,25,189,4725
2026-04-12,S036,ナス,19,134,2546
2026-04-22,S036,レタス,44,225,9900
2026-04-27,S036,玉葱,32,85,2720
2026-04-04,S036,じゃがいも,7,78,546
2026-04-12,S036,玉葱,40,96,3840
2026-04-04,S036,きゅうり,6,72,432
2026-04-20,S036,にんじん,12,127,1524
2026-04-17,S036,きゅうり,39,81,3159
2026-04-22,S036,レタス,10,222,2220
2026-04-22,S036,トマト,40,248,9920
2026-04-12,S036,玉葱,18,106,1908
2026-04-22,S036,きゅうり,17,115,1955
2026-04-26,S036,玉葱,1,84,84
2026-04-25,S036,ナス,10,140,1400
2026-04-05,S036,レタス,29,226,6554
2026-04-26,S036,白菜,5,137,685
2026-04-19,S036,レタス,47,197,9259
2026-04-05,S036,玉葱,21,83,1743
2026-04-06,S036,レタス,23,200,4600
2026-04-16,S036,レタス,31,224,6944
2026-04-14,S036,ピーマン,41,111,4551
2026-04-05,S036,ナス,16,144,2304
2026-04-14,S036,大根,32,144,4608
2026-04-18,S036,白菜,35,164,5740
2026-04-27,S036,じゃがいも,25,65,1625
2026-04-19,S036,ズッキーニ,27,233,6291
2026-04-19,S036,ズッキーニ,48,214,10272
2026-04-23,S036,玉葱,16,98,1568
2026-04-01,S036,じゃがいも,2,83,166
2026-04-18,S036,白菜,9,137,1233
2026-04-02,S036,きゅうり,24,119,2856
2026-04-27,S036,にんじん,19,129,2451
2026-04-05,S036,大根,27,125,3375
2026-04-07,S036,じゃがいも,4,107,428
2026-04-05,S036,玉葱,45,120,5400
2026-04-05,S036,レタス,47,181,8507
2026-04-23,S036,レタス,24,183,4392
2026-04-23,S036,玉葱,43,112,4816
2026-04-03,S036,白菜,39,140,5460
2026-04-01,S036,にんじん,24,109,2616
2026-04-03,S036,じゃがいも,5,60,300
2026-04-19,S036,レタス,10,228,2280
2026-04-06,S036,白菜,48,138,6624
2026-04-24,S036,大根,45,129,5805
2026-04-16,S036,レタス,47,201,9447
2026-04-15,S036,ナス,45,120,5400
2026-04-10,S036,玉葱,10,78,780
2026-04-21,S036,キャベツ,39,208,8112
2026-04-06,S036,大根,11,110,1210
2026-04-13,S036,レタス,44,209,9196
2026-04-18,S036,ズッキーニ,17,236,4012
2026-04-17,S036,トマト,46,244,11224
2026-04-14,S036,にんじん,18,105,1890
2026-04-17,S036,レタス,9,227,2043
2026-04-07,S036,レタス,40,183,7320
