日付,店舗,商品,数量,単価,売上
2026-04-23,S016,きゅうり,3,75,225
2026-04-03,S016,キャベツ,12,210,2520
2026-04-09,S016,大根,5,146,730
2026-04-27,S016,じゃがいも,17,86,1462
2026-04-13,S016,白菜,41,155,6355
2026-04-14,S016,きゅうり,2,94,188
2026-04-22,S016,玉葱,35,75,2625
2026-04-21,S016,ズッキーニ,40,204,8160
2026-04-25,S016,ズッキーニ,38,202,7676
2026-04-23,S016,玉葱,23,107,2461
2026-04-04,S016,トマト,44,249,10956
2026-04-20,S016,玉葱,19,123,2337
2026-04-15,S016,レタス,26,222,5772
2026-04-01,S016,白菜,11,164,1804
2026-04-08,S016,にんじん,48,125,6000
2026-04-26,S016,大根,19,150,2850
2026-04-05,S016,トマト,44,280,12320
2026-04-28,S016,ズッキーニ,42,223,9366
2026-04-01,S016,大根,36,119,4284
2026-04-04,S016,キャベツ,1,196,196
2026-04-20,S016,レタス,35,215,7525
2026-04-03,S016,トマト,14,277,3878
2026-04-24,S016,ズッキーニ,23,213,4899
2026-04-14,S016,ナス,33,129,4257
2026-04-06,S016,にんじん,15,139,2085
2026-04-27,S016,トマト,13,237,3081
2026-04-06,S016,ナス,37,123,4551
2026-04-28,S016,大根,30,151,4530
2026-04-18,S016,玉葱,19,117,2223
2026-04-03,S016,トマト,7,242,1694
2026-04-24,S016,ピーマン,32,111,3552
2026-04-12,S016,にんじん,43,141,6063
2026-04-08,S016,玉葱,19,114,2166
2026-04-03,S016,じゃがいも,21,91,1911
2026-04-15,S016,きゅうり,40,112,4480
2026-04-10,S016,ズッキーニ,38,209,7942
2026-04-19,S016,ピーマン,24,110,2640
2026-04-14,S016,にんじん,1,120,120
2026-04-08,S016,じゃがいも,46,107,4922
2026-04-21,S016,レタス,18,203,3654
2026-04-05,S016,ナス,47,141,6627
2026-04-16,S016,白菜,29,152,4408
2026-04-25,S016,トマト,32,265,8480
2026-04-04,S016,にんじん,42,138,5796
2026-04-03,S016,トマト,9,264,2376
2026-04-07,S016,トマト,47,270,12690
2026-04-03,S016,ズッキーニ,5,201,1005
2026-04-28,S016,大根,41,111,4551
2026-04-27,S016,ピーマン,38,115,4370
2026-04-25,S016,ピーマン,14,92,1288
2026-04-18,S016,トマト,35,264,9240
2026-04-16,S016,ナス,50,129,6450
2026-04-12,S016,レタス,15,229,3435
2026-04-19,S016,ズッキーニ,19,208,3952
2026-04-15,S016,大根,33,115,3795
2026-04-13,S016,きゅうり,33,70,2310
2026-04-22,S016,じゃがいも,40,103,4120
2026-04-06,S016,大根,9,138,1242
2026-04-06,S016,にんじん,37,136,5032
2026-04-22,S016,にんじん,48,146,7008
2026-04-16,S016,きゅうり,3,84,252
2026-04-25,S016,白菜,15,134,2010
2026-04-09,S016,きゅうり,15,72,1080
2026-04-22,S016,じゃがいも,34,110,3740
2026-04-12,S016,レタス,31,209,6479
2026-04-02,S016,キャベツ,42,180,7560
2026-04-04,S016,ズッキーニ,34,240,8160
2026-04-27,S016,トマト,48,246,11808
2026-04-19,S016,大根,37,121,4477
2026-04-13,S016,ナス,25,143,3575
2026-04-19,S016,ナス,5,153,765
2026-04-09,S016,レタス,15,213,3195
2026-04-13,S016,きゅうり,23,101,2323
2026-04-26,S016,白菜,39,130,5070
2026-04-17,S016,にんじん,29,110,3190
2026-04-08,S016,玉葱,33,116,3828
2026-04-09,S016,じゃがいも,10,71,710
2026-04-06,S016,きゅうり,39,115,4485
2026-04-27,S016,玉葱,43,89,3827
2026-04-14,S016,きゅうり,47,77,3619
2026-04-16,S016,ナス,31,150,4650
2026-04-07,S016,ピーマン,11,131,1441
2026-04-27,S016,レタス,2,195,390
2026-04-02,S016,にんじん,37,137,5069
2026-04-06,S016,にんじん,41,132,5412
2026-04-02,S016,ピーマン,10,93,930
2026-04-06,S016,トマト,12,263,3156
2026-04-13,S016,ピーマン,37,130,4810
2026-04-01,S016,ズッキーニ,47,242,11374
2026-04-27,S016,トマト,6,243,1458
2026-04-15,S016,ピーマン,31,120,3720
2026-04-06,S016,じゃがいも,27,98,2646
2026-04-05,S016,ピーマン,50,101,5050
2026-04-20,S016,ナス,33,136,4488
2026-04-06,S016,ズッキーニ,44,221,9724
2026-04-15,S016,ピーマン,38,94,3572
2026-04-08,S016,レタス,25,188,4700
2026-04-04,S016,キャベツ,13,193,2509
2026-04-28,S016,大根,44,136,5984
2026-04-27,S016,にんじん,39,106,4134
