日付,店舗,商品,数量,単価,売上
2026-04-03,S078,ナス,25,151,3775
2026-04-05,S078,にんじん,8,101,808
2026-04-26,S078,トマト,21,275,5775
2026-04-25,S078,トマト,48,256,12288
2026-04-26,S078,玉葱,32,82,2624
2026-04-19,S078,にんじん,36,104,3744
2026-04-16,S078,キャベツ,30,176,5280
2026-04-10,S078,じゃがいも,27,63,1701
2026-04-05,S078,じゃがいも,49,79,3871
2026-04-10,S078,にんじん,12,123,1476
2026-04-05,S078,玉葱,42,100,4200
2026-04-01,S078,にんじん,22,111,2442
2026-04-07,S078,ピーマン,18,138,2484
2026-04-03,S078,にんじん,47,142,6674
2026-04-24,S078,キャベツ,38,177,6726
2026-04-10,S078,ズッキーニ,29,230,6670
2026-04-06,S078,レタス,40,181,7240
2026-04-07,S078,ナス,12,146,1752
2026-04-21,S078,ナス,23,140,3220
2026-04-04,S078,じゃがいも,9,90,810
2026-04-14,S078,玉葱,42,104,4368
2026-04-20,S078,トマト,47,265,12455
2026-04-01,S078,ナス,9,137,1233
2026-04-12,S078,ズッキーニ,23,237,5451
2026-04-18,S078,きゅうり,8,94,752
2026-04-02,S078,にんじん,7,106,742
2026-04-19,S078,ナス,8,140,1120
2026-04-18,S078,ピーマン,6,100,600
2026-04-26,S078,レタス,35,205,7175
2026-04-25,S078,ズッキーニ,19,246,4674
2026-04-20,S078,大根,27,126,3402
2026-04-16,S078,大根,28,160,4480
2026-04-17,S078,ナス,27,128,3456
2026-04-07,S078,白菜,25,133,3325
2026-04-01,S078,大根,34,127,4318
2026-04-10,S078,白菜,17,131,2227
2026-04-17,S078,ズッキーニ,15,228,3420
2026-04-27,S078,ナス,36,125,4500
2026-04-19,S078,玉葱,37,77,2849
2026-04-16,S078,トマト,40,266,10640
2026-04-05,S078,玉葱,28,94,2632
2026-04-02,S078,キャベツ,26,196,5096
2026-04-24,S078,ズッキーニ,49,233,11417
2026-04-27,S078,じゃがいも,26,98,2548
2026-04-24,S078,ナス,9,132,1188
2026-04-26,S078,きゅうり,15,87,1305
2026-04-18,S078,トマト,33,257,8481
2026-04-09,S078,白菜,3,162,486
2026-04-06,S078,玉葱,15,111,1665
2026-04-17,S078,レタス,21,197,4137
2026-04-14,S078,にんじん,10,145,1450
2026-04-28,S078,キャベツ,11,164,1804
2026-04-06,S078,じゃがいも,48,106,5088
2026-04-16,S078,ナス,48,129,6192
2026-04-28,S078,キャベツ,23,181,4163
2026-04-01,S078,じゃがいも,49,73,3577
2026-04-01,S078,キャベツ,2,161,322
2026-04-18,S078,大根,25,125,3125
2026-04-26,S078,トマト,48,275,13200
2026-04-13,S078,白菜,16,167,2672
2026-04-04,S078,ピーマン,1,90,90
2026-04-17,S078,大根,37,159,5883
2026-04-25,S078,ピーマン,6,97,582
2026-04-09,S078,玉葱,26,75,1950
2026-04-01,S078,ピーマン,6,114,684
2026-04-19,S078,ズッキーニ,41,209,8569
2026-04-27,S078,じゃがいも,9,103,927
2026-04-16,S078,じゃがいも,30,107,3210
2026-04-27,S078,ピーマン,44,124,5456
2026-04-25,S078,ピーマン,47,119,5593
2026-04-24,S078,ズッキーニ,40,202,8080
2026-04-13,S078,キャベツ,35,210,7350
2026-04-24,S078,きゅうり,20,104,2080
2026-04-27,S078,玉葱,36,102,3672
2026-04-16,S078,トマト,25,245,6125
2026-04-02,S078,キャベツ,2,198,396
2026-04-27,S078,ピーマン,33,107,3531
2026-04-22,S078,じゃがいも,16,87,1392
2026-04-04,S078,玉葱,47,90,4230
2026-04-15,S078,玉葱,7,108,756
2026-04-03,S078,きゅうり,6,112,672
2026-04-20,S078,大根,42,133,5586
2026-04-23,S078,トマト,22,262,5764
2026-04-05,S078,ピーマン,20,99,1980
2026-04-01,S078,じゃがいも,41,76,3116
2026-04-26,S078,ナス,1,124,124
2026-04-12,S078,じゃがいも,21,108,2268
2026-04-08,S078,トマト,27,256,6912
2026-04-01,S078,白菜,21,154,3234
2026-04-19,S078,ピーマン,39,106,4134
2026-04-10,S078,ピーマン,46,107,4922
2026-04-28,S078,レタス,28,208,5824
2026-04-05,S078,ズッキーニ,4,206,824
2026-04-02,S078,大根,9,127,1143
2026-04-21,S078,ズッキーニ,2,208,416
2026-04-23,S078,大根,6,154,924
2026-04-17,S078,にんじん,9,141,1269
2026-04-08,S078,大根,29,148,4292
2026-04-25,S078,トマト,1,239,239
2026-04-13,S078,にんじん,3,133,399
