日付,店舗,商品,数量,単価,売上
2026-04-16,S098,大根,40,112,4480
2026-04-07,S098,ズッキーニ,20,240,4800
2026-04-12,S098,キャベツ,11,198,2178
2026-04-11,S098,大根,26,138,3588
2026-04-25,S098,レタス,4,195,780
2026-04-21,S098,キャベツ,18,160,2880
2026-04-20,S098,ズッキーニ,14,217,3038
2026-04-14,S098,ナス,45,149,6705
2026-04-22,S098,きゅうり,20,110,2200
2026-04-03,S098,大根,46,156,7176
2026-04-05,S098,じゃがいも,28,94,2632
2026-04-17,S098,玉葱,3,79,237
2026-04-08,S098,大根,43,118,5074
2026-04-15,S098,にんじん,5,103,515
2026-04-28,S098,きゅうり,7,85,595
2026-04-08,S098,トマト,25,233,5825
2026-04-04,S098,大根,20,120,2400
2026-04-05,S098,キャベツ,7,175,1225
2026-04-18,S098,ナス,36,130,4680
2026-04-12,S098,じゃがいも,12,62,744
2026-04-25,S098,大根,48,122,5856
2026-04-22,S098,ズッキーニ,5,248,1240
2026-04-22,S098,レタス,34,187,6358
2026-04-24,S098,ナス,27,134,3618
2026-04-14,S098,キャベツ,16,194,3104
2026-04-19,S098,ナス,43,163,7009
2026-04-03,S098,ナス,45,150,6750
2026-04-08,S098,ズッキーニ,25,238,5950
2026-04-01,S098,白菜,48,162,7776
2026-04-19,S098,ズッキーニ,20,241,4820
2026-04-16,S098,レタス,31,191,5921
2026-04-02,S098,キャベツ,2,182,364
2026-04-05,S098,玉葱,17,119,2023
2026-04-23,S098,玉葱,50,78,3900
2026-04-16,S098,キャベツ,30,167,5010
2026-04-14,S098,じゃがいも,18,95,1710
2026-04-12,S098,キャベツ,42,202,8484
2026-04-18,S098,ピーマン,21,96,2016
2026-04-06,S098,じゃがいも,30,60,1800
2026-04-17,S098,きゅうり,6,118,708
2026-04-04,S098,ピーマン,49,95,4655
2026-04-20,S098,トマト,42,249,10458
2026-04-12,S098,トマト,24,256,6144
2026-04-20,S098,白菜,10,169,1690
2026-04-13,S098,きゅうり,22,94,2068
2026-04-27,S098,玉葱,39,86,3354
2026-04-15,S098,レタス,32,185,5920
2026-04-08,S098,白菜,29,176,5104
2026-04-22,S098,玉葱,45,123,5535
2026-04-22,S098,大根,33,136,4488
2026-04-25,S098,にんじん,28,115,3220
2026-04-19,S098,きゅうり,26,76,1976
2026-04-05,S098,ズッキーニ,26,248,6448
2026-04-27,S098,レタス,50,208,10400
2026-04-18,S098,じゃがいも,2,83,166
2026-04-12,S098,白菜,14,159,2226
2026-04-04,S098,じゃがいも,35,93,3255
2026-04-16,S098,ズッキーニ,19,202,3838
2026-04-06,S098,ズッキーニ,9,213,1917
2026-04-22,S098,ナス,46,168,7728
2026-04-10,S098,ナス,25,124,3100
2026-04-10,S098,トマト,26,254,6604
2026-04-06,S098,白菜,28,143,4004
2026-04-24,S098,じゃがいも,1,78,78
2026-04-22,S098,玉葱,5,104,520
2026-04-14,S098,玉葱,44,94,4136
2026-04-06,S098,ナス,43,126,5418
2026-04-12,S098,にんじん,19,132,2508
2026-04-08,S098,玉葱,39,100,3900
2026-04-18,S098,ズッキーニ,27,213,5751
2026-04-14,S098,トマト,31,231,7161
2026-04-27,S098,トマト,25,250,6250
2026-04-13,S098,大根,37,134,4958
2026-04-19,S098,大根,31,111,3441
2026-04-07,S098,レタス,36,215,7740
2026-04-25,S098,じゃがいも,1,61,61
2026-04-09,S098,大根,15,141,2115
2026-04-22,S098,ピーマン,42,104,4368
2026-04-13,S098,ズッキーニ,15,244,3660
2026-04-27,S098,玉葱,49,97,4753
2026-04-19,S098,にんじん,48,109,5232
2026-04-25,S098,ズッキーニ,39,207,8073
2026-04-22,S098,ナス,11,150,1650
2026-04-02,S098,レタス,22,218,4796
2026-04-08,S098,トマト,5,232,1160
2026-04-09,S098,キャベツ,25,207,5175
2026-04-22,S098,にんじん,38,106,4028
2026-04-03,S098,大根,29,120,3480
2026-04-05,S098,大根,11,127,1397
2026-04-16,S098,玉葱,34,87,2958
2026-04-01,S098,玉葱,35,82,2870
2026-04-15,S098,ズッキーニ,38,249,9462
2026-04-13,S098,ナス,4,150,600
2026-04-11,S098,ナス,29,153,4437
2026-04-20,S098,ズッキーニ,47,233,10951
2026-04-21,S098,トマト,37,260,9620
2026-04-10,S098,ピーマン,40,118,4720
2026-04-20,S098,ピーマン,4,110,440
2026-04-06,S098,にんじん,7,131,917
2026-04-04,S098,玉葱,18,109,1962
